NAME,mean
Dowgate,0.026017023295438604
Bridge,0.002713105909694553
Billingsgate,0.015018630095140106
Farringdon Within,0.03833292002806958
Cripplegate,0.0926145269980797
Langbourn,0.0011062618760466101
Bishopsgate,0.008354268138853095
Cordwainer,0.006154539274407976
Bread Street,0.0168284708249497
Cheap,0.008987752952021415
Bassishaw,0.010154669419374948
Aldersgate,0.11110985325540916
Walbrook,0.0
Cornhill,0.005768773965862432
Lime Street,0.002261690946584181
Aldgate,0.013315692235378096
Broad Street,0.013682323071093787
Coleman Street,0.06093484913348872
Portsoken,0.017002142002141996
Candlewick,0.0
Coulsdon East,0.8544580972635838
Selsdon and Ballards,0.8318630298486429
Coulsdon West,0.6735580522430337
Waddon,0.538277858395359
Kenley,0.8468226417468891
Purley,0.7175462933897663
Sanderstead,0.8396902455615508
Heathfield,0.8475363898295831
Fairfield,0.5754523677001824
Broad Green,0.15548170720875237
West Thornton,0.3053931770025911
Bensham Manor,0.3144947781253382
Norbury,0.5124092951881997
New Addington,0.6369718706029267
Croham,0.6852803950880331
Fieldway,0.6108546769614155
Shirley,0.624018317890976
Selhurst,0.3196632864775226
Ashburton,0.5348633227944639
Woodside,0.5086165787515462
Thornton Heath,0.3598057544168784
Upper Norwood,0.5733397283445522
South Norwood,0.5616266420789197
Addiscombe,0.3247240027185083
Norwood Green,0.54971272945057
Southall Green,0.1341472657097225
Northolt West End,0.6386238936496097
Dormers Wells,0.5919508456519496
Greenford Broadway,0.4631642374990372
North Greenford,0.6512052752131179
Northfield,0.33777007485910454
East Acton,0.22570187624305393
Southall Broadway,0.11466897420844673
Elthorne,0.39601603184184003
Walpole,0.38038808978921973
Lady Margaret,0.2494626711480898
Northolt Mandeville,0.48859351374457044
Hobbayne,0.5523456856179012
Cleveland,0.5629127954069056
Greenford Green,0.34757097104254414
Perivale,0.4167206250516113
Ealing Common,0.4834131708237774
Ealing Broadway,0.4308210195096219
South Acton,0.3474614157071214
Southfield,0.2851673215535226
Acton Central,0.36330411671084833
Hanger Hill,0.5253432373300577
Chase,0.7182785703853881
Winchmore Hill,0.5577987810706974
Cockfosters,0.7121918688758269
