NAME,green_percentage_GLA,ward code
Stratford Olympic Park,26.90%,E05013925
Tudor,40.00%,E05013946
East Ham,24.70%,E05013909
Leytonstone,25.00%,E05013897
Coombe Hill,70.30%,E05013932
West Hill,50.50%,E05014029
West Green,40.30%,E05013603
Wormholt,33.80%,E05013753
Coulsdon Town,43.30%,E05011466
St Martin's,30.40%,E05014109
Little Ilford,51.10%,E05013915
Caledonian,25.60%,E05013700
Willesden Green,26.40%,E05013517
Cannon Hill,53.30%,E05013811
Wandle,26.30%,E05013826
Camden Town,15.50%,E05013655
Maryland,27.20%,E05013917
Grove,21.40%,E05013740
Pinkwell,37.90%,E05013576
Notting Dale,28.60%,E05009399
Thornton Heath,26.80%,E05011486
Bow West,50.60%,E05009320
Kennington,38.00%,E05014105
New Cross Gate,25.60%,E05013728
De Beauvoir,25.50%,E05009371
Wood End,44.70%,E05013582
Kenton East,32.30%,E05013551
Heston West,49.90%,E05013619
Roxbourne,39.10%,E05013558
South Beddington & Roundshaw,52.40%,E05013763
Green Street West,13.80%,E05013914
Carshalton Central,40.60%,E05013756
Barnet Vale,51.50%,E05013628
Loxford,27.90%,E05011247
Cricket Green,53.20%,E05013813
Hillingdon East,65.40%,E05013571
Tottenham Hale,26.10%,E05013602
Deptford,29.30%,E05013719
Shadwell,22.10%,E05009332
Stanley,22.60%,E05009405
Ponders End,23.50%,E05013689
Norbiton,40.20%,E05013941
Courtfield,25.10%,E05009393
Chislehurst,80.70%,E05013993
Green Lane & St James,43.70%,E05013934
Nine Elms,5.50%,E05014015
Palmers Green,39.10%,E05013688
Petts Wood & Knoll,58.10%,E05014003
Edgwarebury,76.00%,E05013638
Barnehurst,41.00%,E05011217
Finchley Church End,42.20%,E05013639
Chelsfield,83.00%,E05013992
Erith,29.20%,E05011225
St Katharine's & Wapping,16.90%,E05009330
St Mary's & St James,80.30%,E05011229
Beam,16.60%,E05014056
Mortlake & Barnes Common,50.90%,E05013783
Holloway,32.40%,E05013706
Highgate,58.80%,E05013592
Carshalton South & Clockhouse,75.70%,E05013757
Dormers Wells,55.50%,E05013519
Clementswood,13.00%,E05011240
St Edward's,18.50%,E05013983
Perivale,48.70%,E05013534
Blackheath Westcombe,54.90%,E05014073
Hornsey,26.60%,E05013593
South Woodford,38.10%,E05011252
Eltham Park & Progress,62.90%,E05014078
Hendon,39.20%,E05013643
Mile End,38.80%,E05009327
Bullsmoor,44.70%,E05013675
Hermitage & Gardens,25.20%,E05013591
Heaton,39.60%,E05013975
East Greenwich,15.00%,E05014076
South Twickenham,42.60%,E05013787
Roundwood,42.70%,E05013509
Hayes Town,38.90%,E05013569
Kenton,42.90%,E05013502
Becontree,20.30%,E05014057
Southall Broadway,21.00%,E05013537
Noel Park,17.50%,E05013595
New Malden Village,41.60%,E05013940
White Hart Lane,29.10%,E05013604
Regent's Park,57.50%,E05013805
Hylands & Harrow Lodge,38.00%,E05013976
Biggin Hill,74.10%,E05013989
Parsons Green & Sandford,24.30%,E05013745
Wembley Park,12.60%,E05013516
Kew,61.10%,E05013782
Pinner,64.40%,E05013555
Yiewsley,47.10%,E05013584
Upper Edmonton,24.90%,E05013694
Ickenham & South Harefield,65.70%,E05013573
Royal Albert,14.80%,E05013922
Bromley North,20.90%,E05009321
Plaistow North,22.50%,E05013918
Hainault,67.00%,E05011245
Bexleyheath,41.50%,E05011219
Fulwell & Hampton Hill,65.00%,E05013776
Darwin,94.30%,E05013996
Bensham Manor,22.50%,E05011464
Woodside,40.50%,E05011489
Harrow Road,17.60%,E05013795
Arsenal,24.90%,E05013697
Eastcote,48.30%,E05013567
North Acton,28.20%,E05013527
Hanworth Village,52.10%,E05013616
Streatham Common & Vale,35.40%,E05014112
Farnborough & Crofton,60.60%,E05013997
Hayes & Coney Hall,81.60%,E05013998
Bloomsbury,17.60%,E05013653
Waterloo & South Bank,17.20%,E05014118
Plaistow,49.40%,E05014004
Woolwich Arsenal,18.10%,E05014092
Fortune Green,38.90%,E05013656
Falconbrook,32.60%,E05014012
Beckenham Town & Copers Cope,47.30%,E05013987
Friern Barnet,46.80%,E05013640
Sutton North,42.20%,E05013766
Crouch End,43.10%,E05013588
Lee Green,33.50%,E05013726
Harrow Weald,72.20%,E05013548
Brixton Acre Lane,20.00%,E05014095
Charlton Hornfair,44.90%,E05014074
Knightsbridge & Belgravia,29.60%,E05013797
Park Hill & Whitgift,63.40%,E05011475
Stockwell West & Larkhall,33.00%,E05014111
Chiswick Riverside,33.00%,E05013611
Crystal Palace & Upper Norwood,48.50%,E05011467
Little Venice,37.50%,E05013799
St Margarets & North Twickenham,39.10%,E05013785
Kentish Town South,23.40%,E05013664
Greenwich Peninsula,12.20%,E05014082
Twickenham Riverside,48.80%,E05013789
Barking Riverside,26.90%,E05014055
Heston East,44.20%,E05013618
Whitewebbs,79.30%,E05013695
Belvedere,42.10%,E05011218
St Helier West,30.70%,E05013762
West Wickham,47.00%,E05014008
Catford South,33.10%,E05013717
Hackney Downs,38.90%,E05009373
Coombe Vale,40.70%,E05013933
Wall End,37.20%,E05013926
Frognal,45.90%,E05013657
Barnes,50.60%,E05013774
Palace & Hurlingham,39.20%,E05013744
Forest Gate North,22.60%,E05013911
Hillside,27.20%,E05013816
Nunhead & Queen's Road,36.30%,E05011108
West Thornton,28.80%,E05011488
Woolwich Dockyard,26.90%,E05014094
Oakwood,52.60%,E05013687
Greenwich Creekside,21.10%,E05014080
Tooting Bec,17.00%,E05014023
Holland,50.10%,E05009397
Isleworth,40.50%,E05013625
Whitton,40.10%,E05013791
Hampton North,49.20%,E05013779
Rushey Green,36.80%,E05013730
Bellingham,54.70%,E05013714
Bowes,38.60%,E05013673
South Hampstead,38.50%,E05013670
Trinity,26.90%,E05014025
Woodside,38.90%,E05013605
Colville,25.50%,E05009392
Vincent Square,17.40%,E05013807
Ruislip,73.00%,E05013577
Canning Town South,23.00%,E05013907
Kenton West,40.00%,E05013552
Canonbury,40.10%,E05013701
Spitalfields & Banglatown,14.60%,E05009333
Brunswick Park,45.30%,E05013629
Wembley Hill,36.70%,E05013515
Norland,40.00%,E05009398
Pinner South,49.40%,E05013556
Belsize,38.50%,E05013652
North Richmond,65.60%,E05013784
Tollington,21.80%,E05013712
Cazenove,21.40%,E05009368
Hackney Central,28.10%,E05009372
Middle Park & Horn Park,55.90%,E05014085
Hatch Lane & Highams Park North,50.80%,E05013890
Longlands,44.90%,E05011227
Kenley,58.10%,E05011469
Parsloes,40.70%,E05014067
Fairfield,12.40%,E05011468
Ilford Town,14.90%,E05011246
Charville,59.50%,E05013565
Abbey,23.60%,E05013810
Springfield,33.70%,E05009383
Bush Hill Park,41.70%,E05013676
Gipsy Hill,36.90%,E05014103
Plumstead Common,59.30%,E05014088
Herne Hill & Loughborough Junction,44.00%,E05014104
Feltham North,38.20%,E05013613
West Hampstead,22.80%,E05013671
North Bermondsey,22.20%,E05011106
Village,50.70%,E05014070
Gospel Oak,29.60%,E05013658
Dollis Hill,31.60%,E05013500
Plumstead & Glyndon,33.20%,E05014087
Sutton Central,19.90%,E05013765
St James,40.70%,E05013899
Endlebury,42.80%,E05013886
Haverstock,33.70%,E05013660
Preston,35.80%,E05013506
Highgate,71.90%,E05013661
Kelsey & Eden Park,54.30%,E05013999
St George's,26.60%,E05011114
Lansbury,23.70%,E05009325
Thamesmead East,51.80%,E05011232
Kilburn,25.20%,E05013503
Walham Green,16.00%,E05013749
Brownswood,20.70%,E05009367
Canbury Gardens,30.90%,E05013930
Clapham Park,31.20%,E05014101
Shooters Hill,67.30%,E05014089
Shirley South,67.70%,E05011483
Elm Park,53.30%,E05013969
South Hornchurch,59.30%,E05013984
Dulwich Wood,67.20%,E05011101
Munster,19.30%,E05013743
Mottingham,64.50%,E05014000
Goose Green,25.50%,E05011103
North Harrow,36.80%,E05013554
Marylebone,8.40%,E05013801
Harringay,39.10%,E05013590
West Finchley,36.00%,E05013648
Cheam,51.20%,E05013758
West End,6.10%,E05013808
Motspur Park & Old Malden East,41.40%,E05013939
Brixton Rush Common,30.50%,E05014097
Tokyngton,28.60%,E05013512
Higham Hill,34.00%,E05013892
Chelsea Riverside,20.70%,E05009391
Fullwell,41.60%,E05011243
Kingston Town,24.00%,E05013938
Hillrise,33.10%,E05013705
Northolt Mandeville,51.10%,E05013531
Hither Green,31.20%,E05013724
Lavender,16.30%,E05014014
Abingdon,24.00%,E05009388
Northolt West End,67.10%,E05013532
Hampton Wick & South Teddington,60.90%,E05013780
Mayesbrook,36.80%,E05014065
City of London,6.00%,E09000001
