ward_code,Observation
E05002283,4560.5
E05002284,1269.4
E05002285,3828.8
E05002286,4489.8
E05002287,3366
E05002288,196.6
E05002372,269.8
E05002373,682.5
E05002374,2715
E05002375,891.3
E05002376,2920.7
E05002377,3143.3
E05002378,2276.1
E05002379,1540.3
E05002380,405.5
E05002381,3392.6
E05002382,4194.6
E05002383,146.1
E05002384,3564.1
E05002385,3396.4
E05002386,3364.1
E05002387,183.6
E05002388,2891.9
E05002389,766.9
E05002390,620.7
E05002391,3713.5
E05002392,237.8
E05002393,2321.7
E05002394,2099.9
E05002395,1760.1
E05002396,867.3
E05002420,18400.4
E05002421,12213.6
E05002422,3478.3
E05002423,11208
E05002424,2104.6
E05002425,11357.4
E05002426,2276.2
E05002427,2896.6
E05002428,1660
E05002429,1795.2
E05002430,8984.7
E05002431,12481.9
E05002432,10862.2
E05002433,1395.9
E05002434,12381.1
E05002435,5240.7
E05002436,3112.4
E05002437,10142
E05002438,6987.4
E05002439,1812.9
E05002440,1158.2
E05002441,4807
E05002442,15524.4
E05002443,6677.5
E05002444,4165.4
E05002445,3175.1
E05002446,2356.5
E05002447,5475.1
E05002448,12043.7
E05002449,4804.1
E05002450,6220.4
E05002451,6383.2
E05002452,2924.1
E05002453,7630.8
E05002454,9483.8
E05002455,6229.8
E05002456,3228.4
E05002457,8433
E05002458,5722.9
E05002459,4682
E05002460,4972.7
E05002461,5424.9
E05002462,5527.1
E05002463,4303.9
E05002464,5394
E05002465,5584.1
E05002466,4008.1
E05002467,4127.9
E05002468,4736.9
E05002469,4593.8
E05002470,5434.1
E05003280,1924.4
E05003281,48.5
E05003282,3520.9
E05003283,3084.3
E05003284,637.3
E05003286,928.2
E05003287,223.1
E05003289,384.6
E05003290,1841.8
E05003292,4283.8
E05003293,1014.7
E05003295,809.3
E05003296,1639.8
E05003297,2286.8
E05003299,1044.1
E05003300,80.4
E05003301,1043
E05003302,115
E05003323,535
E05003324,2024
E05003325,1150.5
E05003326,4200.9
E05003327,1454.7
E05003328,3002.8
E05003329,1220.3
E05003330,3989.7
E05003331,2051.1
E05003332,3361.8
E05003333,575.3
E05003334,1498.8
E05003335,2992
E05003336,767.8
E05003337,4131.5
E05003338,3336.1
E05003339,1979.6
E05003340,3195.5
E05003341,2309.6
E05003342,377.6
E05003343,2306.8
E05003344,108.5
E05003345,73.9
E05003346,51.8
E05003347,116.1
E05003348,26.8
E05003349,30.7
E05003350,40.6
E05003351,336.7
E05003352,25
E05003353,82.7
E05003354,24
E05003355,72.5
E05003356,64.2
E05003357,38.7
E05003358,49.7
E05003359,149.1
E05003360,739.8
E05003361,489.9
E05003362,31.9
E05003363,107.8
E05003364,95.7
E05003365,72.3
E05003366,352.3
E05003510,319.9
E05003511,35.3
E05003512,53.6
E05003513,242.4
E05003514,30.9
E05003515,627.5
E05003516,1472.9
E05003517,48.4
E05003518,5543
E05003519,52.8
E05003520,3517.5
E05003521,389.4
E05003522,414.5
E05003524,31.3
E05003525,150.5
E05003526,28.7
E05003527,47.6
E05003528,60.4
E05003529,53.3
E05003530,34
E05003531,208.5
E05004021,2279.8
E05004022,2258
E05004023,579
E05004024,591.9
E05004025,2645.1
E05004026,2328.2
E05004027,1548.1
E05004028,7097.7
E05004029,2081.5
E05004030,3151.9
E05004031,693.5
E05004032,4228.9
E05004033,6332
E05004034,1834.7
E05004035,2861.3
E05004036,2054.8
E05004067,4148.3
E05004068,3568.4
E05004069,4083.8
E05004070,185.5
E05004071,191.9
E05004072,1862.8
E05004073,750.8
E05004074,2762.6
E05004075,2155.6
E05004076,227.7
E05004077,1296.7
E05004078,798.5
E05004079,168.5
E05004080,250.8
E05004081,351.1
E05004082,4178.6
E05004083,1382.1
E05004084,5585
E05004085,4039.9
E05004086,3467.1
E05004087,4304
E05004088,515.5
E05004089,3100
E05004090,3666.1
E05004091,5170.8
E05004092,1121.9
E05004093,2691
E05004094,1563.7
E05004095,1235.4
E05004096,165.4
E05004097,214.9
E05004098,247.7
E05004099,2014.7
E05004100,53.9
E05004101,632.3
E05004102,1508.3
E05004103,1862.7
E05004104,3383.9
E05004105,248.4
E05004106,6134.1
E05004107,4774.3
E05004108,5156.9
E05004109,4564.3
E05004110,280.5
E05004111,4363.9
E05004112,132.2
E05004113,2440.7
E05004114,1538.6
E05004115,3780.5
E05004116,3093.2
E05004117,4599.4
E05004118,3039.7
E05004119,294.9
E05004147,81.4
E05004148,3964.6
E05004149,2641.7
E05004150,623.4
E05004151,455.7
E05004152,704.1
E05004153,1357.2
E05004154,900.5
E05004155,4451.1
E05004157,53.7
E05004158,196.9
E05004159,4627.5
E05004160,2057.3
E05004161,5975.3
E05004162,1655.4
E05004163,3938.3
E05004164,791.1
E05004165,3837.8
E05004166,432.3
E05004167,410.2
E05004169,720
E05004170,52.3
E05004171,319.4
E05004172,986.4
E05004173,503.4
E05004174,123.7
E05004175,3078.3
E05004176,303.7
E05004177,3788.9
E05004178,1451.2
E05004179,5277.2
E05004180,5553.8
E05004181,3862.6
E05004182,4041.5
E05004183,1799.9
E05004184,2197.3
E05004185,3435
E05004186,1855.1
E05004187,5441.9
E05004188,2990.7
E05004189,4211.3
E05004190,115
E05004191,243.7
E05004192,1804.7
E05004193,127.1
E05004194,790.8
E05004195,2868.9
E05004196,722.1
E05004197,1026.7
E05004198,2220.6
E05004199,1474.9
E05004200,167.7
E05004201,86.8
E05004202,183.2
E05004203,40.4
E05004204,173.1
E05004205,93
E05004206,95.8
E05004288,7041.4
E05004289,903.3
E05004290,2691.6
E05004291,1211.7
E05004292,1362.3
E05004293,4293.8
E05004294,3474.1
E05004295,4655.3
E05004296,2590.5
E05004297,4248.6
E05004298,3925.4
E05004299,3715.2
E05004300,1504
E05004301,4819.8
E05004302,8921.9
E05004303,5190.3
E05004304,3549
E05004305,1056.6
E05004306,4540.7
E05004307,4108.5
E05004516,814.3
E05004517,1234.8
E05004518,3695.4
E05004519,3909.7
E05004520,3541.5
E05004521,2230.7
E05004522,3979.4
E05004523,3233.3
E05004524,3048.3
E05004525,1883.4
E05004526,1049.9
E05004527,923.3
E05004528,643.8
E05004529,3637.3
E05004530,761
E05004566,3058.3
E05004567,2383.1
E05004568,2239.4
E05004569,4372.2
E05004570,3219.5
E05004571,2121.2
E05004572,4640.3
E05004573,1067.3
E05004574,1085.6
E05004575,2578.8
E05004576,1409.8
E05004577,4072.7
E05004578,3339.9
