NAME,Population per square kilometre,ward_code
Edgware,9810.849393,E05000287
Greenhill,10397.25243,E05000288
Harrow on the Hill,3740.13986,E05000289
Harrow Weald,2603.181521,E05000290
Hatch End,3392.258458,E05000291
Headstone North,3494.081942,E05000292
Headstone South,8425.444596,E05000293
Kenton East,8700.234192,E05000294
Kenton West,6648.725212,E05000295
Marlborough,8792.223572,E05000296
Pinner,3202.446483,E05000297
Pinner South,4696.132597,E05000298
Queensbury,7765.034098,E05000299
Rayners Lane,7603.267974,E05000300
Roxbourne,8821.381142,E05000301
Roxeth,7448.604061,E05000302
Stanmore Park,2778.725314,E05000303
Wealdstone,10872.59011,E05000304
West Harrow,7160.420776,E05000305
Brooklands,4768.15044,E05000306
Cranham,2021.812081,E05000307
Elm Park,3748.841014,E05000308
Emerson Park,2674.498814,E05000309
Gooshays,2134.647597,E05000310
Hacton,5271.028037,E05000311
Harold Wood,2015.139547,E05000312
Havering Park,1392.317123,E05000313
Heaton,4184.187408,E05000314
Hylands,4670.916609,E05000315
Mawneys,4484.749098,E05000316
Pettits,3486.213003,E05000317
Rainham and Wennington,784.1420118,E05000318
Romford Town,6833.565946,E05000319
St. Andrew's,5282.098995,E05000320
South Hornchurch,2564.918943,E05000321
Squirrel's Heath,5475.812547,E05000322
Upminster,605.1744031,E05000323
Barnhill,6651.722511,E05000324
Botwell,5501.37237,E05000325
Brunel,4397.619774,E05000326
Cavendish,6297.565822,E05000327
Charville,4395.22368,E05000328
Eastcote and East Ruislip,3644.406111,E05000329
Harefield,518.3263269,E05000330
Heathrow Villages,589.5855473,E05000331
Hillingdon East,3882.30384,E05000332
Ickenham,1801.031094,E05000333
Manor,6308.004053,E05000334
Northwood,1553.605185,E05000335
Northwood Hills,3797.475962,E05000336
Pinkwell,5924.562682,E05000337
South Ruislip,1860.612603,E05000338
Townfield,4991.423671,E05000339
Uxbridge North,3705.374487,E05000340
Uxbridge South,5133.140841,E05000341
West Drayton,5467.621777,E05000342
West Ruislip,2842.824601,E05000343
Yeading,6425.814751,E05000344
Yiewsley,3904.061799,E05000345
Bedfont,3061.389701,E05000346
Brentford,6043.614685,E05000347
Chiswick Homefields,5394.946809,E05000348
Chiswick Riverside,5778.471889,E05000349
Cranford,4932.42747,E05000350
Feltham North,3731.382979,E05000351
Feltham West,5091.766185,E05000352
Hanworth,3780.067671,E05000353
Hanworth Park,3469.101895,E05000354
Heston Central,8059.347181,E05000355
Heston East,7034.431138,E05000356
Heston West,3469.712794,E05000357
Hounslow Central,11882.48848,E05000358
Hounslow Heath,5796.914245,E05000359
Hounslow South,6888.455103,E05000360
Hounslow West,9643.429981,E05000361
Isleworth,6390.940423,E05000362
Osterley and Spring Grove,2262.427016,E05000363
Syon,6075.035063,E05000364
Turnham Green,6976.217441,E05000365
Barnsbury,17020.48193,E05000366
Bunhill,17996.32691,E05000367
Caledonian,14734.62214,E05000368
Canonbury,16742.25527,E05000369
Clerkenwell,14033.15508,E05000370
Finsbury Park,18694.32314,E05000371
Highbury East,13950.1992,E05000372
Highbury West,17506.4695,E05000373
Hillrise,16333.33333,E05000374
Holloway,17035.67889,E05000375
Junction,13086.57588,E05000376
Mildmay,17800.24213,E05000377
St. George's,16832.1513,E05000378
St. Mary's,15752.58918,E05000379
St. Peter's,19413.58025,E05000380
Tollington,17355.3719,E05000381
Abingdon,18270.27027,E05000382
Brompton,9576.963351,E05000383
Campden,9360.745614,E05000384
Colville,20843.98977,E05000385
Courtfield,17699.17012,E05000386
Cremorne,13323.52941,E05000387
Earl's Court,23002.17865,E05000388
Golborne,10045.31085,E05000389
Hans Town,15887.68116,E05000390
Holland,9490.856593,E05000391
Norland,11833.56259,E05000392
Notting Barns,14988.76404,E05000393
Pembridge,15510.2459,E05000394
Queen's Gate,16128.92562,E05000395
Redcliffe,13453.89049,E05000396
Royal Hospital,8006.659267,E05000397
St. Charles,12706.62906,E05000398
Stanley,12055.80694,E05000399
Alexandra,4073.963392,E05000400
Berrylands,7595.041322,E05000401
Beverley,6268.617021,E05000402
Canbury,13241.74053,E05000403
Chessington North and Hook,4863.659927,E05000404
Chessington South,1473.384534,E05000405
Coombe Hill,2566.439909,E05000406
Coombe Vale,6437.765634,E05000407
Grove,7040.104167,E05000408
Norbiton,8750.74184,E05000409
Old Malden,5869.252078,E05000410
St. James,4549.146285,E05000411
St. Mark's,9113.372093,E05000412
Surbiton Hill,7034.254808,E05000413
Tolworth and Hook Rise,4514.450867,E05000414
Tudor,6539.481996,E05000415
Bishop's,7312.907432,E05000416
Brixton Hill,15231.17803,E05000417
Clapham Common,10816.828,E05000418
Clapham Town,13816.96429,E05000419
Coldharbour,15310.43046,E05000420
Ferndale,20695.19343,E05000421
Gipsy Hill,9543.949045,E05000422
Herne Hill,8246.062992,E05000423
Knight's Hill,10607.60353,E05000424
Larkhall,18788.4797,E05000425
Oval,14959.21569,E05000426
Prince's,14721.1704,E05000427
St. Leonard's,11386.47343,E05000428
Stockwell,18443.03797,E05000429
Streatham Hill,12795.75805,E05000430
Streatham South,8775.029446,E05000431
Streatham Wells,11891.10958,E05000432
Thornton,13995.38319,E05000433
Thurlow Park,9654.125413,E05000434
Tulse Hill,15904.7619,E05000435
Vassall,15169.17626,E05000436
Bellingham,5274.230146,E05000437
Blackheath,6811.932555,E05000438
Brockley,11427.04626,E05000439
Catford South,8460.920771,E05000440
Crofton Park,9253.922138,E05000441
Downham,6528.2545,E05000442
Evelyn,14245.20857,E05000443
Forest Hill,9341.90372,E05000444
Grove Park,6533.026756,E05000445
Ladywell,9577.998757,E05000446
Lee Green,9043.117745,E05000447
Lewisham Central,12606.51751,E05000448
New Cross,11373.14254,E05000449
Perry Vale,9956.650831,E05000450
Rushey Green,10162.82987,E05000451
Sydenham,9685.386819,E05000452
Telegraph Hill,11788.8601,E05000453
Whitefoot,7039.118705,E05000454
Abbey,7896.625987,E05000455
Cannon Hill,4408.723022,E05000456
Colliers Wood,10450.045,E05000457
Cricket Green,4147.814481,E05000458
Dundonald,8722.849696,E05000459
Figge's Marsh,10849.51881,E05000460
Graveney,11563.34842,E05000461
Hillside,7973.817568,E05000462
Lavender Fields,9989.830508,E05000463
Longthornton,7320.054018,E05000464
Lower Morden,4948.00885,E05000465
Merton Park,5692.900385,E05000466
Pollards Hill,4976.84113,E05000467
