WD22CD,WD22NM,mean
E05011469,Kenley,0.8574575222289366
E05011470,New Addington North,0.5970927005464995
E05011471,New Addington South,0.6328930605126618
E05011472,Norbury & Pollards Hill,0.40689763574900173
E05011473,Norbury Park,0.5860466672905393
E05011474,Old Coulsdon,0.8612172997099307
E05011475,Park Hill & Whitgift,0.8049283517350344
E05011476,Purley & Woodcote,0.7406763026753953
E05011477,Purley Oaks & Riddlesdown,0.710002139046554
E05011478,Sanderstead,0.8427510688358365
E05011479,Selhurst,0.32437720457966074
E05011480,Selsdon & Addington Village,0.8054663547968938
E05011481,Selsdon Vale & Forestdale,0.8418749264813311
E05011482,Shirley North,0.5919603842118752
E05011483,Shirley South,0.791052830963018
E05011484,South Croydon,0.6996941906291086
E05011485,South Norwood,0.3918969621125215
E05011486,Thornton Heath,0.36376409264491855
E05011487,Waddon,0.4557077612596769
E05011488,West Thornton,0.324993942415186
E05011489,Woodside,0.4941950325133159
E05013496,Alperton,0.2615012785339072
E05013497,Barnhill,0.5975009703046256
E05013498,Brondesbury Park,0.4828148195314518
E05013499,Cricklewood & Mapesbury,0.32180594418257047
E05013500,Dollis Hill,0.34909244798440714
E05013501,Harlesden & Kensal Green,0.2689384227897186
E05013502,Kenton,0.46358331213443776
E05013503,Kilburn,0.2184955651761573
E05013504,Kingsbury,0.2757991930860756
E05013505,Northwick Park,0.49015496368782
E05013506,Preston,0.3969818140349424
E05013507,Queens Park,0.31710842587768456
E05013508,Queensbury,0.3699101210982034
E05013509,Roundwood,0.3369515490160043
E05013510,Stonebridge,0.22684358021363396
E05013511,Sudbury,0.48767186491727377
E05013512,Tokyngton,0.2531806468446134
E05013513,Welsh Harp,0.48908003592480453
E05013514,Wembley Central,0.3369314792179333
E05013515,Wembley Hill,0.3558593023309026
E05013516,Wembley Park,0.09615669869625697
E05013517,Willesden Green,0.31103302032993396
E05013518,Central Greenford,0.35576117879567487
E05013519,Dormers Wells,0.5771838002293527
E05013520,Ealing Broadway,0.4391002693943007
E05013521,Ealing Common,0.4677195720158475
E05013522,East Acton,0.3988136516097454
E05013523,Greenford Broadway,0.4892767489932963
E05013524,Hanger Hill,0.5329015904719238
E05013525,Hanwell Broadway,0.40092363714094637
E05013526,Lady Margaret,0.2927396979660584
E05013527,North Acton,0.24008991877188518
E05013528,North Greenford,0.6581222038595115
E05013529,North Hanwell,0.5619665706456367
E05013530,Northfield,0.3356944957255569
